Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 3696.84, 4538.74, 13905.6, 0, 0, 13027.7, 0, 0, 16215.9, 0, 0, 20764.4, 0, 0
0.118, 0, 0.0719897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1338, 0, 0.225488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1656, 2.56945, 0.128283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1826, 1.28319, 0.0575335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2058, 2.40821, 0.185464, 3.67001, 0.793134, 0.217322, 2.73432, 2.25999, 0, 3.1828, 2.76378, 0, 1.45656, 0.770487, 0.210209
0.2164, 1.70867, 0.11954, 1.68584, 0.220462, 0.0719184, 4.32392, 2.10177, 0.318301, 2.29035, 0.368012, 0.08105, 1.69511, 0, 0.242826
0.2268, 1.67879, 0.113565, 1.64127, 0.242179, 0.0305859, 2.155, 0.310233, 0.0670431, 1.7689, 0.0531559, 0.0721571, 1.38289, 0, 0.143202
0.2374, 1.67945, 0.121645, 1.75761, 0.0962867, 0.00877322, 1.69202, 0.0737808, 0.03228, 1.6701, 0, 0.049523, 1.10633, 0, 0.100675
0.2598, 1.64766, 0.138575, 1.24759, 0.193072, 0, 1.57283, 0.00651761, 0.0156418, 1.70166, 0, 0.0311575, 0.857096, 0, 0.0851855
0.2716, 1.72014, 0.169216, 1.19841, 0.261431, 0, 1.70404, 0.0102087, 0.0282557, 1.80255, 0, 0.041025, 0.823543, 0, 0.097102
0.2834, 1.76109, 0.186909, 1.26852, 0.332991, 0, 1.71229, 0, 0.0472928, 1.81365, 0, 0.0499125, 0.814203, 0, 0.105902
0.2946, 1.81464, 0.201635, 1.43433, 0.214838, 0.0447461, 1.73837, 0, 0.0549705, 1.85834, 0, 0.0554507, 0.831647, 0, 0.110685
0.3182, 1.88252, 0.217162, 1.5346, 0.224478, 0.0686122, 1.78105, 0, 0.061997, 1.91541, 0, 0.0610172, 0.846505, 0, 0.116378
0.33, 1.99338, 0.247565, 1.68977, 0.238412, 0.0786188, 1.91851, 0, 0.0677588, 2.05273, 0, 0.0672172, 0.883564, 0, 0.124599
0.342, 2.05954, 0.262339, 1.79093, 0.234572, 0.0840204, 1.99075, 0, 0.0707963, 2.12268, 0, 0.0703086, 0.868342, 0, 0
0.3538, 2.12592, 0.277154, 1.8952, 0.227418, 0.0890572, 2.06398, 0, 0.0735353, 2.19297, 0, 0.0734056, 0.907008, 0, 0
0.3656, 2.19764, 0.288626, 1.96753, 0.228556, 0.0919478, 2.13579, 0, 0.0763837, 2.27268, 0, 0.0763938, 0.225397, 0.75232, 0.0382505
0.3892, 2.2845, 0.299084, 2.10129, 0.201783, 0.0969901, 2.20864, 0, 0.078802, 2.34103, 0, 0.0793066, 0.0901385, 0.741061, 0.0280504
0.401, 2.39715, 0.327718, 2.26835, 0.200523, 0.105589, 2.34502, 0, 0.0833379, 2.47155, 0, 0.0842625, 0.214082, 0.702074, 0.0269738
0.4128, 2.46641, 0.34046, 2.37796, 0.185544, 0.110411, 2.41514, 0, 0.0856031, 2.53694, 0, 0.0868717, 0.258437, 0.68118, 0
0.4244, 2.53703, 0.352675, 2.49182, 0.167927, 0.115265, 2.48503, 0, 0.0878407, 2.60178, 0, 0.0894631, 0.377496, 0.681416, 0.0417445
0.4362, 2.60723, 0.364299, 2.61332, 0.145793, 0.120393, 2.55372, 0, 0.090009, 2.66401, 0, 0.0920023, 0.462763, 0.660583, 0.0330128
0.4594, 2.70347, 0.370747, 2.79742, 0.0933954, 0.126216, 2.62639, 0, 0.0920337, 2.72449, 0, 0.0946272, 0.562156, 0.632621, 0.0302526
0.471, 2.81513, 0.396434, 2.98701, 0.0844967, 0.133006, 2.75934, 0, 0.0963136, 2.84695, 0, 0.0992292, 0.617107, 0.647467, 0.0315524
0.4828, 2.88699, 0.406863, 3.1185, 0.0635154, 0.136244, 2.82849, 0, 0.0986434, 2.9071, 0, 0.101552, 0.642834, 0.661223, 0.0316516
0.4944, 2.9592, 0.417577, 3.25044, 0.0455226, 0.139267, 2.89925, 0, 0.101586, 2.96731, 0, 0.103868, 0.65799, 0.680041, 0.0315788
0.5178, 3.06741, 0.421439, 3.43801, 0.00824824, 0.140797, 2.9737, 0, 0.104499, 3.02328, 0, 0.106095, 0.673206, 0.701217, 0.0305033
0.5294, 3.17051, 0.442749, 3.6392, 0, 0.147083, 3.11144, 0, 0.109384, 3.14301, 0, 0.110603, 0.708143, 0.727517, 0.0312301
0.541, 3.2486, 0.453852, 3.75168, 0, 0.1503, 3.18163, 0, 0.112164, 3.20096, 0, 0.112824, 0.713032, 0.752262, 0.0317779
0.5528, 3.32482, 0.461705, 3.85669, 0, 0.153502, 3.21993, 0.0482393, 0.102054, 3.26087, 0, 0.115045, 0.722069, 0.772865, 0.0312303
0.5644, 3.40191, 0.469499, 3.96155, 0, 0.156709, 3.28569, 0.0562048, 0.101627, 3.32175, 0, 0.117264, 0.74007, 0.786501, 0.0310092
0.5878, 3.51338, 0.468682, 4.12088, 0, 0.15982, 3.36122, 0.0620375, 0.101651, 3.37484, 0, 0.119177, 0.747075, 0.80982, 0.0301919
0.5994, 3.62812, 0.490467, 4.34344, 0, 0.165947, 3.4815, 0.0693239, 0.105013, 3.49172, 0, 0.123463, 0.770575, 0.846705, 0.0311445
0.611, 3.70351, 0.498029, 4.46585, 0, 0.169, 3.54981, 0.0719921, 0.106549, 3.54672, 0, 0.125441, 0.775403, 0.871776, 0.0315514
0.6226, 3.78055, 0.504646, 4.57693, 0, 0.172011, 3.61894, 0.0744156, 0.108083, 3.60215, 0, 0.1274, 0.771853, 0.897937, 0.0312552
0.6342, 3.86745, 0.508253, 4.69311, 0, 0.175016, 3.68722, 0.0782754, 0.109127, 3.66576, 0, 0.129657, 0.761976, 0.9357, 0.0317353
0.6576, 3.98873, 0.503265, 4.84531, 0, 0.17771, 3.76917, 0.0793919, 0.110453, 3.71986, 0, 0.132972, 0.70484, 1.00843, 0.031967
0.6692, 4.10707, 0.52169, 5.0479, 0, 0.183467, 3.88973, 0.0854336, 0.11394, 3.83453, 0, 0.137408, 0.700935, 1.06402, 0.0329307
0.6808, 4.18783, 0.52608, 5.17411, 0, 0.186252, 3.95812, 0.0873312, 0.115587, 3.88907, 0, 0.13924, 0.712635, 1.07444, 0.0334594
0.6926, 4.26881, 0.531308, 5.23376, 0, 0.188919, 4.02779, 0.0882298, 0.117499, 3.93938, 0, 0.140962, 0.727788, 1.08085, 0.033737
0.7158, 4.38119, 0.529787, 5.28363, 0, 0.191335, 4.11387, 0.0864437, 0.11965, 3.98114, 0, 0.142175, 0.733968, 1.09185, 0.0340842
0.727, 4.48762, 0.549551, 5.41029, 0, 0.196672, 4.23429, 0.0906752, 0.123484, 4.08449, 0, 0.145819, 0.716069, 1.15277, 0.0346935
0.7384, 4.57128, 0.55254, 5.46503, 0, 0.199312, 4.31453, 0.0903287, 0.124785, 4.09865, 0.111256, 0.118021, 0.677401, 1.20752, 0.0351341
0.75, 4.64671, 0.557327, 5.49303, 0, 0.201714, 4.38713, 0.0900582, 0.126729, 4.14371, 0.129518, 0.11389, 0.61949, 1.2755, 0.0351672
0.7614, 4.72221, 0.562202, 5.5635, 0, 0.204227, 4.45801, 0.0904629, 0.128655, 4.18519, 0.143672, 0.111989, 0.564269, 1.33944, 0.0348151
0.7838, 4.82881, 0.559784, 5.60822, 0, 0.206666, 4.54506, 0.0883279, 0.130787, 4.22053, 0.159573, 0.10953, 0.447985, 1.44461, 0.0353135
0.795, 4.92726, 0.57794, 5.71804, 0, 0.211866, 4.66593, 0.0910222, 0.13458, 4.33055, 0.164459, 0.111282, 0.420859, 1.50877, 0.0362851
0.8062, 4.99798, 0.583091, 5.76467, 0, 0.21446, 4.73825, 0.0911796, 0.13629, 4.35046, 0.178983, 0.110805, 0.380943, 1.56559, 0.0366684
0.8172, 5.06122, 0.589239, 5.80992, 0, 0.216976, 4.81079, 0.0906268, 0.138359, 4.39342, 0.184995, 0.11118, 0.343524, 1.62184, 0.037161
0.8284, 5.12921, 0.594264, 5.89076, 0, 0.219585, 4.8807, 0.090953, 0.140111, 4.46851, 0.179782, 0.112563, 0.302173, 1.67819, 0.0369644
0.8508, 5.21281, 0.596086, 5.92207, 0, 0.222004, 4.98041, 0.0874364, 0.142456, 4.49043, 0.199248, 0.111334, 0, 1.95781, 0.037901
0.8622, 5.30942, 0.615779, 6.01182, 0, 0.227, 5.10487, 0.0899763, 0.146004, 4.613, 0.198567, 0.113954, 0, 2.0081, 0.038206
0.8734, 5.37391, 0.625223, 6.08131, 0, 0.229571, 5.18006, 0.0902005, 0.147763, 4.64918, 0.210418, 0.114134, 0, 2.02655, 0.042603
0.8848, 5.43391, 0.634972, 6.11389, 0, 0.231884, 5.25663, 0.0899516, 0.149559, 4.70618, 0.212633, 0.115026, 0, 2.0454, 0.044926
0.9078, 5.54242, 0.638337, 6.10902, 0, 0.234138, 5.36209, 0.0875719, 0.151076, 4.79307, 0.204568, 0.117432, 0, 2.05893, 0.0489434
0.919, 5.63348, 0.661921, 6.27025, 0, 0.239235, 5.48745, 0.0906158, 0.154463, 4.8729, 0.219241, 0.118974, 0, 2.09963, 0.051546
0.9302, 5.69349, 0.67197, 6.35326, 0, 0.241537, 5.56311, 0.0908668, 0.156138, 4.91894, 0.225377, 0.119843, 0, 2.11606, 0.0543094
0.9416, 5.76311, 0.670763, 6.46404, 0, 0.243783, 5.64184, 0.0907872, 0.157733, 5.00611, 0.218371, 0.121946, 0, 2.13665, 0.0544904
0.953, 5.82945, 0.679855, 6.57956, 0, 0.246123, 5.72629, 0.0903804, 0.159207, 5.04709, 0.226673, 0.122892, 0, 2.1563, 0.0549776
0.9762, 5.94199, 0.685197, 6.69448, 0, 0.248177, 5.83316, 0.0905369, 0.1598, 5.12058, 0.230166, 0.124846, 0, 2.17121, 0.0565926
0.9862, 6.0308, 0.70822, 6.7984, 0, 0.252715, 5.95991, 0.0935099, 0.163016, 5.2274, 0.234467, 0.127589, 0, 2.21387, 0.0571706
