Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.001, 0, 0, 0, 0, 0, 0, 0.120153, 0, 0, 0.292912, 0, 0, 0.0940601, 0.414405
0.002, 0, 0, 0, 0, 0, 0, 0.0770701, 0, 0, 0.207295, 0, 0, 0, 0.732293
0.003, 0, 0, 0, 0, 0, 0, 0.0154746, 0, 0, 0.101851, 0, 0, 0.143902, 0.277557
0.004, 0, 0, 0, 0, 0, 0, 0.0133723, 0, 0, 0.0910184, 0, 0, 0.217084, 0.147035
0.005, 0, 0, 0, 0, 0, 0, 0.0138231, 0, 0, 0.0814298, 0, 0, 0.207163, 0.118539
0.006, 0, 0, 0, 0, 0, 0, 0.0136817, 0, 0, 0.0725456, 0, 0, 0.200602, 0.103815
0.007, 0, 0, 0, 0, 0, 0, 0.0142777, 0, 0, 0.0643446, 0, 0, 0.19404, 0.091563
0.008, 0, 0, 0, 0, 0, 0, 0.0276, 0, 0, 0.0572451, 0, 0, 0.188863, 0.0822552
0.009, 0, 0, 0, 0, 0, 0, 0.0185851, 0, 0, 0.0502486, 0, 0, 0.179972, 0.0747872
0.01, 0, 0, 0, 0, 0, 0, 0.0182875, 0, 0, 0.043846, 0, 0, 0.169665, 0.0657679
0.011, 0, 0, 0, 0, 0, 0, 0.0185575, 0, 0, 0.0383223, 0, 0, 0.156676, 0.0565133
0.012, 0, 0, 0, 0, 0, 0, 0.0187921, 0, 0, 0.0330077, 0, 0, 0.144327, 0.0475739
0.013, 0, 0, 0, 0, 0, 0, 0.0189676, 0, 0, 0.0278137, 0, 0, 0.131392, 0.0387214
0.014, 0, 0, 0, 0, 0, 0, 0.0190799, 0, 0, 0.0231959, 0, 0, 0.120414, 0.0320895
0.015, 0, 0, 0, 0, 0, 0, 0.0190416, 0, 0, 0.0196338, 0, 0, 0.106804, 0.0256524
0.016, 0, 0, 0, 0, 0, 0, 0.0189367, 0, 0, 0.016352, 0, 0, 0.0939071, 0.0185001
0.017, 0, 0, 0, 0, 0, 0, 0.0187398, 0, 0, 0.0133709, 0, 0, 0.0792121, 0.0119529
0.018, 0, 0, 0, 0, 0, 0, 0.0185829, 0, 0, 0.0110361, 0, 0, 0.0707927, 0.00753206
0.019, 0, 0, 0, 0, 0, 0, 0.014204, 0, 0, 0.00965536, 0, 0, 0.0822569, 0
0.02, 0, 0, 0, 0, 0, 0, 0.0180164, 0, 0, 0.00838806, 0, 0, 0.0556115, 1.38629e-05
0.021, 0, 0, 0, 0, 0, 0, 0.0178864, 0, 0, 0.00747728, 0, 0, 0.048636, 0
0.022, 0, 0, 0, 0, 0, 0, 0.0177646, 0, 0, 0.00619699, 0, 0, 0.0426654, 0
0.023, 0, 0, 0, 0, 0, 0, 0.0177242, 0, 0, 0.00513549, 0, 0, 0.0392043, 0
0.024, 0, 0, 0, 0, 0, 0, 0.0141171, 0, 0, 0.00415722, 0, 0, 0.0343577, 0
0.025, 0, 0, 0, 0, 0, 0, 0.0140953, 0, 0, 0.00380052, 0, 0, 0.0297781, 0
0.026, 0, 0, 0, 0, 0, 0, 0.0141154, 0, 0, 0.0030601, 0, 0, 0.0251265, 0
0.027, 0, 0, 0, 0, 0, 0, 0.0141894, 0, 0, 0.00247004, 0, 0, 0.0227561, 0
0.028, 0, 0, 0, 0, 0, 0, 0.0142508, 0, 0, 0.00179395, 0, 0, 0.018223, 0
0.029, 0, 0, 0, 0, 0, 0, 0.014384, 0, 0, 0.000885065, 0, 0, 0.0153313, 0
0.03, 0, 0, 0, 0, 0, 0, 0.0145654, 0, 0, 0.000379309, 0, 0, 0.0124619, 0
0.031, 0, 0, 0, 0, 0, 0, 0.00915113, 0, 0, 3.84566e-05, 0, 0, 0.00953522, 0
0.032, 0, 0, 0, 0, 0, 0, 0.00934877, 0, 0, 0, 0, 0, 0.00723229, 0
0.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00532875, 0
0.034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00431284, 0
0.035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0206702, 0
0.036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00367146, 0
0.038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.387781, 0, 0, 0.0580821, 0.332993
0.039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0619241, 0, 0, 0, 0.00482262
0.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.045, 0, 0, 0, 0.0135874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.046, 0, 0, 0, 0.0128003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.047, 0, 0, 0, 0.0122758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.048, 0, 0, 0, 0.0117939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.049, 0, 0, 0, 0.0113475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.05, 0, 0, 0, 0.0109239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.051, 0, 0, 0, 0.0105147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.052, 0, 0, 0, 0.0101147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.053, 0, 0, 0, 0.00972145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.054, 0, 0, 0, 0.092869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.055, 0, 0, 0, 0.020979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.056, 0, 0, 0, 0.0204365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.057, 0, 0, 0, 0.0206014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.058, 0, 0, 0, 0.0297386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.059, 0, 0, 0, 0.0352731, 0.0342611, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.06, 0, 0, 0, 1.29402, 0.385442, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.061, 0, 0, 0, 0.8832, 1.08882, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.062, 0, 0, 0, 0.579874, 0.799493, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.063, 0, 0, 0, 0.932703, 0.714167, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.064, 0, 0, 0, 0.970848, 0.787845, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.065, 0, 0, 0, 1.04844, 0.712138, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.066, 0, 0, 0, 0.970994, 0.952899, 0, 0.454971, 0, 0, 0, 0, 0, 0, 0
0.067, 0, 0, 0, 0, 1.85841, 0, 0.795753, 0, 0, 0, 0, 0, 0, 0
0.068, 0, 0, 0, 0.00120793, 0.986953, 0, 0.594438, 0, 0, 0.279316, 0, 0, 0, 0
0.069, 0, 0, 0, 0.365358, 1.00864, 0, 1.00925, 0, 0, 0.61774, 0, 0, 0, 0
0.07, 0, 0, 0, 0.318831, 1.07872, 0, 1.07618, 0, 0, 0.729531, 0, 0, 0, 0
0.071, 0, 0, 0, 0.250968, 1.08988, 0, 1.10648, 0, 0, 0.737463, 0, 0, 0, 0
0.072, 0, 0, 0, 0.231844, 1.07174, 0, 1.1196, 0, 0, 0.74359, 0, 0, 0, 0
0.073, 0, 0, 0, 0.220092, 1.22116, 0, 1.12388, 0, 0, 0.782125, 0, 0, 0.121639, 0.670917
0.074, 0, 0, 0, 0.186815, 1.31916, 0, 1.03976, 0, 0, 0.716368, 0, 0, 0.0818145, 0.775771
0.075, 0, 0, 0, 0.143905, 1.2412, 0, 0.991259, 0, 0, 0.677049, 0, 0, 0.0802059, 0.679928
0.076, 0, 0, 0, 0.153838, 1.26118, 0, 1.00032, 0, 0, 0.690711, 0, 0, 0.0775696, 0.859558
0.077, 0, 0, 0, 0.13808, 1.17208, 0, 0.975466, 0, 0, 0.672967, 0, 0, 0.0667424, 0.91292
0.078, 0, 0, 0, 0.144845, 1.21668, 0, 0.99742, 0, 0, 0.687929, 0, 0, 0.0491469, 0.951201
0.079, 0, 0, 0, 0.116809, 1.23881, 0, 0.96543, 0, 0, 0.666053, 0, 0, 0.0242262, 1.04997
0.08, 0, 0, 0, 0.102794, 1.20099, 0, 0.934714, 0, 0, 0.685713, 0.358432, 0, 0.00802142, 1.05804
0.081, 0, 0, 0, 0.100249, 1.20797, 0, 0.944715, 0, 0, 0.739852, 0.341063, 0, 0, 1.06895
0.082, 0, 0, 0, 0.085664, 1.13744, 0, 0.932966, 0, 0, 0.730151, 0.33459, 0, 0, 1.04868
0.083, 0, 0, 0, 0.0723101, 1.19089, 0, 0.930037, 0.21564, 0, 0.733949, 0.346352, 0, 0, 1.03963
0.084, 0, 0, 0, 0.0608241, 1.17088, 0, 0.965379, 0.392489, 0, 0.686011, 0.364497, 0, 0, 0.991306
0.085, 0, 0, 0, 0.0609485, 1.17095, 0, 1.01876, 0.435486, 0, 0.683919, 0.373432, 0, 0, 0.967869
0.086, 0, 0, 0, 0.0569555, 1.42101, 0, 1.0254, 0.436151, 0, 0.667057, 0.38021, 0, 0, 0.937167
0.087, 0, 0, 0, 0.0344874, 1.21156, 0, 0.928121, 0.400103, 0, 0.572229, 0.334376, 0, 0, 0.823866
0.088, 0, 0, 0, 0.0540617, 1.33451, 0, 1.02094, 0.416913, 0, 0.635959, 0.34394, 0, 0, 0.851913
0.089, 0, 0, 0, 0.0432511, 1.24967, 0, 0.941975, 0.413786, 0, 0.578233, 0.32074, 0, 0, 0.790602
0.09, 0, 0, 0, 0.0491642, 1.29634, 0, 0.968107, 0.456227, 0, 0.595273, 0.325746, 0, 0, 0.780383
0.091, 0, 0, 0, 0.0440925, 1.26337, 0, 0.929149, 0.453884, 0, 0.557127, 0.323033, 0, 0, 0.739727
0.092, 0, 0, 0, 0.0450897, 1.28296, 0, 0.931499, 0.469209, 0, 0.556123, 0.324353, 0, 0, 0.723019
0.093, 0, 0, 0, 0.406334, 2.61594, 0, 4.24439, 0.341952, 0, 3.22475, 0.217465, 0, 1.88795, 1.29401
0.094, 0, 0, 0, 0, 0.117633, 0, 0.143278, 0.271343, 0, 0.0260841, 0.114748, 0, 0.0251919, 0.0149466
0.095, 0, 0, 0, 0.209879, 1.91141, 0, 1.70002, 0.50199, 0, 1.09729, 0.298236, 0, 0.188885, 0.474095
0.096, 0, 0, 0, 0.000286302, 0.771782, 0, 0.126048, 0.72457, 0, 0.22471, 0.164954, 0, 0, 0.19591
