Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0223179, 0, 0, 0.0191653, 0.0094145
0.009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0142242, 0, 0, 0.0255576, 0.000609773
0.014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00854523, 0, 0, 0.0252864, 0.000328401
0.019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00524733, 0, 0, 0.033977, 0.000556386
0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00454032, 0, 0, 0.0160656, 0
0.027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00403458, 0, 0, 0.0119159, 0
0.032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00227961, 0, 0, 0.00739878, 0
0.037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000814268, 0, 0, 0.00282776, 0
0.041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86028e-05, 0, 0, 0, 0
0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.077, 0, 0, 0, 0, 0.08809, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.081, 0, 0, 0, 0.110891, 1.83803, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.082, 0, 0, 0, 0.0148269, 1.17056, 0, 0.379765, 0, 0, 0, 0, 0, 0, 0
0.086, 0, 0, 0, 0.130618, 1.37604, 0, 0.955165, 0, 0, 0, 0, 0, 0, 0
0.09, 0, 0, 0, 0.107213, 1.07355, 0, 0.877018, 0, 0, 0.670406, 0, 0, 0, 0.683188
0.094, 0, 0, 0, 0.151003, 1.21495, 0, 0.976177, 0, 0, 0.745374, 0, 0, 0, 0.680122
0.098, 0, 0, 0, 0.573727, 2.52844, 0, 3.27901, 0, 0, 2.93795, 0, 0, 0, 1.34692
0.099, 0, 0, 0, 0.0594814, 0.401138, 0, 0.574161, 0.211543, 0, 0.485363, 0.190824, 0, 0, 0.233697
0.101, 0, 0, 0, 0.0871043, 1.83704, 0, 1.13921, 0.439571, 0, 0.754486, 0.49988, 0, 0, 0.642223
0.104, 0, 0, 0, 0.00141566, 0.701018, 0, 0.506727, 0.340458, 0, 0.370035, 0.274229, 0, 0, 0.230896
0.107, 0, 0, 0, 0, 1.7093, 0, 0.717886, 0.686797, 0, 0.669323, 0.368479, 0, 0, 0.623054
0.11, 0, 0, 0, 0.0115194, 0.817932, 0, 0.393865, 0.666263, 0, 0.369484, 0.228439, 0, 0, 0.269193
0.113, 0, 0, 0, 0.121377, 1.60493, 0, 0.54134, 1.08906, 0, 0.578393, 0.347773, 0, 0, 0.500824
0.114, 0, 0, 0, 0, 1.0449, 0, 0.288892, 0.981787, 0, 0.345005, 0.249755, 0, 0, 0.310238
