Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00916549, 0, 0, 0.00393154, 0.00145936
0.009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00891372, 0, 0, 0.00564417, 0.0011117
0.013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00611144, 0, 0, 0.0056491, 0.00109267
0.018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00442877, 0, 0, 0.00585652, 0.00100602
0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00363887, 0, 0, 0.00565909, 0.000878167
0.028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0032392, 0, 0, 0.00510047, 0.000720649
0.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0022233, 0, 0, 0.00415213, 0.000580869
0.038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0956291, 0, 0, 0.0376306, 0
0.044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00292991, 0, 0, 0, 0
0.049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00261407, 0, 0, 0, 0
0.054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00228707, 0, 0, 0, 0
0.059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.079, 0, 0, 0, 0, 0.0224219, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.083, 0, 0, 0, 0.263066, 1.33427, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.084, 0, 0, 0, 0.0705751, 1.02473, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.088, 0, 0, 0, 0.0878336, 1.02221, 0, 0.306108, 0, 0, 0.208701, 0, 0, 0, 0.374705
0.092, 0, 0, 0, 0.225542, 1.28724, 0, 0.628502, 0, 0, 0.410717, 0, 0, 0, 0.375716
0.095, 0, 0, 0, 0.00486936, 0.605079, 0, 0.540252, 0, 0, 0.357338, 0, 0, 0, 0.307741
0.098, 0, 0, 0, 0, 0.665744, 0, 0.768002, 0.0970679, 0, 0.537779, 0, 0, 0, 0.522071
0.1, 0, 0, 0, 0.91377, 2.48815, 0, 1.72191, 0.0940306, 0, 1.73079, 0, 0, 0, 0.844494
0.104, 0, 0, 0, 0.0244881, 0.347142, 0, 0.300558, 0.150949, 0, 0.197309, 0.148859, 0, 0, 0.0900194
0.106, 0, 0, 0, 0, 0.702785, 0, 0.768738, 0.419371, 0, 0.518921, 0.358754, 0, 0.0243148, 0.494679
0.109, 0, 0, 0, 0.014347, 0.325735, 0, 0.618871, 0.426923, 0, 0.423074, 0.31331, 0, 0.0129417, 0.401366
0.112, 0, 0, 0, 0.00474599, 0.29281, 0, 0.749312, 0.579587, 0, 0.526134, 0.385331, 0, 0.0286035, 0.545878
0.114, 0, 0, 0, 0.019433, 0.253711, 0, 0.701703, 0.601681, 0, 0.661725, 0.305815, 0, 0.0997729, 0.463521
0.117, 0, 0, 0, 0, 2.15299, 0, 0.771071, 0.615484, 0, 0.599708, 0.382099, 0, 0.0656013, 0.539814
0.118, 0, 0, 0, 0, 0.356938, 0, 0.146404, 0.344918, 0, 0.301979, 0.148802, 0, 0.00460073, 0.183701
0.12, 0, 0, 0, 0, 1.56185, 0, 0.405224, 0.443081, 0, 0.577215, 0.343294, 0, 0.0737948, 0.488229
0.123, 0, 0, 0, 0, 0.462561, 0, 0.405118, 0.318555, 0, 0.337712, 0.168378, 0, 0.00644002, 0.19455
0.125, 0, 0, 0, 0, 0.288385, 0, 0.450196, 0.413379, 0, 0.554129, 0.307662, 0, 0.0694427, 0.444172
0.128, 0, 0, 0, 0, 0.231906, 0, 0.443155, 0.452158, 0, 0.613635, 0.342087, 0, 0.066202, 0.52876
0.131, 0, 0, 0, 0, 0.405784, 0, 0.438277, 0.456325, 0, 0.647807, 0.354962, 0, 0.0714829, 0.559567
0.134, 0, 0, 0, 0, 0.393645, 0, 0.421218, 0.427044, 0, 0.609238, 0.318372, 0, 0.0606409, 0.502693
0.138, 0, 0, 0, 0, 0.390493, 0, 0.401154, 0.424859, 0, 0.631202, 0.318646, 0, 0.0627422, 0.517707
0.141, 0, 0, 0, 0, 0.370556, 0, 0.357454, 0.414462, 0, 0.638512, 0.319995, 0, 0.0706538, 0.522759
0.144, 0, 0, 0, 0, 0.364633, 0, 0.505378, 0.697209, 0, 0.647107, 0.321927, 0, 0.0686676, 0.537642
0.147, 0, 0, 0, 0, 0.362736, 0, 0.602897, 0.55823, 0, 0.672071, 0.32079, 0, 0.0755909, 0.5478
0.15, 0, 0, 0, 0, 0.35879, 0, 0.573999, 0.56325, 0, 0.679563, 0.34218, 0, 0.077118, 0.553033
0.154, 0, 0, 0, 0, 0.355406, 0, 0.586173, 0.565657, 0, 0.714254, 0.346913, 0, 0.0795974, 0.562916
0.155, 0, 0, 0, 0, 0.355393, 0, 0.589773, 0.566985, 0, 0.718825, 0.349787, 0, 0.0806353, 0.564621
0.158, 0, 0, 0, 0, 0.348989, 0, 0.642254, 0.564518, 0, 0.736112, 0.351985, 0, 0.0811917, 0.572956
0.161, 0, 0, 0, 0, 0.348225, 0, 0.416278, 0.454312, 0, 0.757329, 0.349811, 0, 0.0832401, 0.582289
0.164, 0, 0, 0, 0, 0.344903, 0, 0.429301, 0.455185, 0, 0.779642, 0.348599, 0, 0.0853361, 0.584884
0.167, 0, 0, 0, 0, 0.342917, 0, 0.468401, 0.46909, 0, 0.816718, 0.352257, 0, 0.0863254, 0.589433
0.17, 0, 0, 0, 0, 0.342566, 0, 0.491681, 0.475877, 0, 0.814298, 0.36202, 0, 0.08906, 0.589783
0.174, 0, 0, 0, 0, 0.338609, 0, 0.496981, 0.472307, 0, 0.820065, 0.375202, 0, 0.0942127, 0.596256
0.175, 0, 0, 0, 0, 0.339308, 0, 0.495888, 0.47237, 0, 0.820355, 0.378615, 0, 0.0957023, 0.597226
0.178, 0, 0, 0, 0, 0.335568, 0, 0.492763, 0.468162, 0, 0.86269, 0.378418, 0, 0.0973548, 0.601256
0.181, 0, 0, 0, 0, 0.33405, 0, 0.490143, 0.466278, 0, 0.88425, 0.400023, 0, 0.0974757, 0.606803
0.185, 0, 0, 0, 0, 0.331098, 0, 0.489281, 0.46434, 0, 0.921315, 0.410651, 0, 0.0988622, 0.623212
0.188, 0, 0, 0, 0, 0.330497, 0, 0.48971, 0.462078, 0, 0.922345, 0.431353, 0, 0.102034, 0.62579
0.191, 0, 0, 0, 0, 0.330064, 0, 0.490454, 0.459269, 0, 0.774076, 0.404876, 0, 0.0998634, 0.630805
0.192, 0, 0, 0, 0, 0.329153, 0, 0.489757, 0.458208, 0, 0.787832, 0.405486, 0, 0.104361, 0.632961
0.195, 0, 0, 0, 0, 0.327406, 0, 0.490725, 0.455007, 0, 0.784455, 0.418382, 0, 0.108321, 0.655164
0.198, 0, 0, 0, 0, 0.326299, 0, 0.49055, 0.450049, 0, 0.780798, 0.424447, 0, 0.113758, 0.65111
0.202, 0, 0, 0, 0, 0.325177, 0, 0.489438, 0.446183, 0, 0.772757, 0.423711, 0, 0.120955, 0.66696
0.208, 0, 0, 0, 0, 0.324077, 0, 0.489638, 0.440759, 0, 0.730796, 0.445031, 0, 0.133541, 0.681668
0.211, 0, 0, 0, 0, 0.324283, 0, 0.490627, 0.436443, 0, 0.714218, 0.431186, 0, 0.141417, 0.703992
0.212, 0, 0, 0, 0, 0.324253, 0, 0.490488, 0.437434, 0, 0.713733, 0.431695, 0, 0.144354, 0.705825
0.215, 0, 0, 0, 0, 0.323103, 0, 0.490336, 0.435492, 0, 0.652345, 0.430904, 0, 0.152012, 0.733634
0.217, 0, 0, 0, 0, 0.322878, 0, 0.489915, 0.437548, 0, 0.693278, 0.606622, 0, 0.162731, 0.745517
0.22, 0, 0, 0, 0, 0.322517, 0, 0.489455, 0.432293, 0, 0.657952, 0.518925, 0, 0.175484, 0.767989
0.224, 0, 0, 0, 0, 0.322637, 0, 0.489968, 0.430136, 0, 0.65235, 0.525577, 0, 0.202639, 0.798215
0.227, 0, 0, 0, 0, 0.322762, 0, 0.490184, 0.427554, 0, 0.631975, 0.526169, 0, 0.244656, 0.8233
0.23, 0, 0, 0, 0.00181041, 0.321297, 0, 0.489681, 0.426031, 0, 0.62515, 0.529234, 0, 0.293582, 0.799003
0.231, 0, 0, 0, 0.00187597, 0.32162, 0, 0.490016, 0.42591, 0, 0.620706, 0.529915, 0, 0.305702, 0.787878
0.234, 0, 0, 0, 0.00188622, 0.321007, 0, 0.489412, 0.424406, 0, 0.609564, 0.529899, 0, 0.34209, 0.723133
0.238, 0, 0, 0, 0.00209109, 0.320071, 0, 0.490276, 0.422857, 0, 0.600691, 0.529969, 0, 0.390229, 0.588174
0.242, 0, 0, 0, 0.0022984, 0.319039, 0, 0.490793, 0.418594, 0, 0.582983, 0.533898, 0, 0.411465, 0.513455
