Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.151664, 0, 0, 0.0350617, 0.23482
0.004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0350222, 0, 0, 0.0487174, 0.0327052
0.008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0197113, 0, 0, 0.0453462, 0.00603801
0.017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0064404, 0, 0, 0.0353799, 0
0.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00497265, 0, 0, 0.0309445, 0
0.025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00406083, 0, 0, 0.0207762, 0
0.029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00279929, 0, 0, 0.0106581, 0
0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00254581, 0, 0, 0.00942721, 0
0.034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00128097, 0, 0, 0.00649019, 0
0.038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.263317, 0, 0, 0.0730552, 0.224562
0.042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.073, 0, 0, 0, 0, 0.0935337, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.077, 0, 0, 0, 0, 2.52602, 0, 0.833848, 0, 0, 0, 0, 0, 0, 0
0.081, 0, 0, 0, 0.0221953, 0.158658, 0, 0.22284, 0, 0, 0, 0, 0, 0, 0
0.085, 0, 0, 0, 0.23885, 1.86468, 0, 1.28167, 0, 0, 0, 0, 0, 0, 0
0.089, 0, 0, 0, 0.0261098, 0.256451, 0, 0.315073, 0, 0, 0.424275, 0, 0, 0, 0.446226
0.09, 0, 0, 0, 0.367434, 1.28625, 0, 1.06198, 0, 0, 0.958652, 0, 0, 0, 0.929383
0.093, 0, 0, 0, 0.0377336, 0.479901, 0, 0.430733, 0, 0, 0.471763, 0, 0, 0, 0.49694
0.096, 0, 0, 0, 0, 1.37062, 0, 0.824622, 0, 0, 0.724684, 0.336088, 0, 0, 1.00762
0.098, 0, 0, 0, 0, 0.565725, 0, 0.41847, 0, 0, 0.620756, 0.196239, 0, 0.0693599, 0.300193
0.1, 0, 0, 0, 0, 1.14812, 0, 0.689585, 0.312492, 0, 0.550035, 0.344121, 0, 0, 0.469148
0.103, 0, 0, 0, 0, 0.712714, 0, 0.269719, 0.269705, 0, 0.32076, 0.22715, 0, 0, 0.243883
0.106, 0, 0, 0, 0, 1.09617, 0, 0.254868, 0.486166, 0, 0.439344, 0.263484, 0, 0, 0.382532
0.107, 0, 0, 0, 0, 0.798074, 0, 0.103108, 0.425042, 0, 0.286165, 0.208147, 0, 0, 0.262607
0.11, 0, 0, 0, 0, 0.96089, 0, 0.1273, 0.581626, 0, 0.370371, 0.236156, 0, 0, 0.341349
0.113, 0, 0, 0, 0, 0.819341, 0, 0.0483993, 0.60162, 0, 0.291226, 0.205394, 0, 0, 0.320988
0.117, 0, 0, 0, 0, 0.954429, 0, 0.0329718, 0.750809, 0, 0.304249, 0.236731, 0, 0, 0.315746
0.12, 0, 0, 0, 0, 0.918514, 0, 0.0127766, 0.691468, 0, 0.248804, 0.209424, 0, 0, 0.265806
0.124, 0, 0, 0, 0.0711771, 0.956317, 0, 0.00936392, 0.710676, 0, 0.260975, 0.198672, 0, 0, 0.277665
0.125, 0, 0, 0, 0.0598737, 0.927897, 0, 0.00599571, 0.691412, 0, 0.251146, 0.185546, 0, 0, 0.265839
0.128, 0, 0, 0, 0.0685702, 0.9506, 0, 0.00701064, 0.681668, 0, 0.262836, 0.178872, 0, 0, 0.272456
0.131, 0, 0, 0, 0.0657396, 0.929653, 0, 0.00560961, 0.653651, 0, 0.263145, 0.162679, 0, 0, 0.264145
0.134, 0, 0, 0, 0.0897594, 0.934698, 0, 0.00646751, 0.639316, 0, 0.270932, 0.159036, 0, 0, 0.271085
0.137, 0, 0, 0, 0.0905158, 0.93119, 0, 0.00686196, 0.603725, 0, 0.273384, 0.148455, 0, 0, 0.269258
0.141, 0, 0, 0, 0.0902524, 0.937931, 0, 0.00793417, 0.580433, 0, 0.27731, 0.140295, 0, 0, 0.270519
0.145, 0, 0, 0, 0.0841562, 0.939921, 0, 0.0105467, 0.544978, 0, 0.276327, 0.136267, 0, 0, 0.268405
0.146, 0, 0, 0, 0.083249, 0.939591, 0, 0.0108184, 0.538782, 0, 0.275259, 0.135542, 0, 0, 0.267842
0.15, 0, 0, 0, 0.0817608, 0.943741, 0, 0.0151113, 0.504375, 0, 0.278123, 0.130637, 0, 0, 0.2681
0.154, 0, 0, 0, 0.081044, 0.941213, 0, 0.0212898, 0.473517, 0, 0.280694, 0.122272, 0, 0, 0.266987
0.162, 0, 0, 0, 0.0798978, 0.947079, 0, 0.0324965, 0.438101, 0, 0.283878, 0.117727, 0, 0, 0.268352
0.169, 0, 0, 0, 0.0761637, 0.945774, 0, 0.0427367, 0.409447, 0, 0.284436, 0.113145, 0, 0, 0.266782
0.17, 0, 0, 0, 0.0766213, 0.947131, 0, 0.0441496, 0.407675, 0, 0.285292, 0.112864, 0, 0, 0.267238
0.174, 0, 0, 0, 0.0748275, 0.94744, 0, 0.053559, 0.385316, 0, 0.286312, 0.111222, 0, 0, 0.266905
0.178, 0, 0, 0, 0.073782, 0.948284, 0, 0.0619282, 0.372222, 0, 0.288291, 0.109029, 0, 0, 0.266926
0.182, 0, 0, 0, 0.0726842, 0.948451, 0, 0.0693217, 0.365524, 0, 0.288863, 0.108217, 0, 0, 0.266771
0.186, 0, 0, 0, 0.0716674, 0.949269, 0, 0.0834467, 0.341675, 0, 0.289746, 0.107744, 0, 0, 0.266831
0.19, 0, 0, 0, 0.0705319, 0.949878, 0, 0.0963081, 0.330184, 0, 0.291215, 0.106948, 0, 0, 0.26688
0.194, 0, 0, 0, 0.0745794, 0.951791, 0, 0.111134, 0.318538, 0, 0.291792, 0.108231, 0, 0, 0.267215
0.199, 0, 0, 0, 0.0684907, 0.948785, 0, 0.139748, 0.278287, 0, 0.291611, 0.105915, 0, 0, 0.265531
0.207, 0, 0, 0, 0.0670589, 0.95398, 0, 0.211397, 0.231499, 0, 0.293233, 0.105815, 0, 0, 0.266474
0.215, 0, 0, 0, 0.0655858, 0.949206, 0, 0.253627, 0.201258, 0, 0.293103, 0.104398, 0, 0, 0.264774
0.219, 0, 0, 0, 0.0655497, 0.955135, 0, 0.3017, 0.170546, 0, 0.294897, 0.104853, 0, 0, 0.266311
0.223, 0, 0, 0, 0.0639897, 0.949747, 0, 0.309902, 0.163308, 0, 0.294187, 0.103529, 0, 0, 0.264338
0.226, 0, 0, 0, 0.0647912, 0.95545, 0, 0.321961, 0.158288, 0, 0.295915, 0.104203, 0, 0, 0.266113
0.227, 0, 0, 0, 0.0623292, 0.951663, 0, 0.322564, 0.155933, 0, 0.294034, 0.103475, 0, 0, 0.264365
0.23, 0, 0, 0, 0.064458, 0.953434, 0, 0.337347, 0.146813, 0, 0.29696, 0.103384, 0, 0, 0.265378
0.234, 0, 0, 0, 0.0637463, 0.95219, 0, 0.35217, 0.136688, 0, 0.296537, 0.102889, 0, 0, 0.264774
0.238, 0, 0, 0, 0.0636104, 0.954019, 0, 0.362645, 0.132144, 0, 0.297578, 0.102604, 0, 0, 0.265138
0.242, 0, 0, 0, 0.0630088, 0.952609, 0, 0.368956, 0.12754, 0, 0.296979, 0.102138, 0, 0, 0.264535
0.246, 0, 0, 0, 0.0629783, 0.954508, 0, 0.376668, 0.123574, 0, 0.297472, 0.102127, 0, 0, 0.264952
0.25, 0, 0, 0, 0.0623919, 0.953044, 0, 0.383913, 0.117184, 0, 0.297011, 0.101747, 0, 0, 0.264288
0.253, 0, 0, 0, 0.062694, 0.954601, 0, 0.389451, 0.114122, 0, 0.298342, 0.10157, 0, 0, 0.264766
0.257, 0, 0, 0, 0.0621712, 0.953462, 0, 0.392304, 0.111965, 0, 0.297851, 0.101183, 0, 0, 0.264308
0.262, 0, 0, 0, 0.0621005, 0.95524, 0, 0.395898, 0.110487, 0, 0.298329, 0.101106, 0, 0, 0.264668
0.269, 0, 0, 0, 0.0617123, 0.953809, 0, 0.399179, 0.108139, 0, 0.297847, 0.100582, 0, 0, 0.264145
0.277, 0, 0, 0, 0.0615845, 0.95617, 0, 0.40804, 0.102464, 0, 0.298466, 0.100491, 0, 0, 0.264624
0.281, 0, 0, 0, 0.0613488, 0.953512, 0, 0.409581, 0.100543, 0, 0.297766, 0.100036, 0, 0, 0.263842
0.285, 0, 0, 0, 0.0617191, 0.95665, 0, 0.4124, 0.0994383, 0, 0.299168, 0.100421, 0, 0, 0.264733
0.289, 0, 0, 0, 0.0611294, 0.953743, 0, 0.412639, 0.0978318, 0, 0.298142, 0.0998754, 0, 0, 0.263692
0.29, 0, 0, 0, 0.0622481, 0.955889, 0, 0.414337, 0.0978907, 0, 0.299144, 0.100185, 0, 0, 0.264568
0.294, 0, 0, 0, 0.0611803, 0.954909, 0, 0.414442, 0.096761, 0, 0.298364, 0.0998759, 0, 0, 0.263948
0.298, 0, 0, 0, 0.0612446, 0.956154, 0, 0.417636, 0.0953989, 0, 0.298679, 0.0999348, 0, 0, 0.264277
0.302, 0, 0, 0, 0.0610167, 0.955011, 0, 0.418068, 0.0946921, 0, 0.29827, 0.0996969, 0, 0, 0.263865
0.306, 0, 0, 0, 0.0609608, 0.95642, 0, 0.419493, 0.0942678, 0, 0.298622, 0.0997623, 0, 0, 0.264239
0.31, 0, 0, 0, 0.0609007, 0.955116, 0, 0.419728, 0.0936359, 0, 0.298198, 0.0995452, 0, 0, 0.263781
0.314, 0, 0, 0, 0.0611355, 0.956238, 0, 0.421043, 0.0933691, 0, 0.298718, 0.099463, 0, 0, 0.264115
0.315, 0, 0, 0, 0.0608192, 0.955512, 0, 0.420693, 0.0931656, 0, 0.298314, 0.0993692, 0, 0, 0.263794
0.319, 0, 0, 0, 0.0611825, 0.95607, 0, 0.421571, 0.092838, 0, 0.298549, 0.099429, 0, 0, 0.264
0.326, 0, 0, 0, 0.060975, 0.955957, 0, 0.422046, 0.0922943, 0, 0.298353, 0.0993347, 0, 0, 0.263833
0.334, 0, 0, 0, 0.060763, 0.956518, 0, 0.422915, 0.091785, 0, 0.298417, 0.0993148, 0, 0, 0.263889
0.335, 0, 0, 0, 0.0606367, 0.955732, 0, 0.422737, 0.0916708, 0, 0.298229, 0.0992455, 0, 0, 0.263722
0.339, 0, 0, 0, 0.0610763, 0.956561, 0, 0.423452, 0.0915332, 0, 0.29851, 0.0993205, 0, 0, 0.263975
0.343, 0, 0, 0, 0.0607844, 0.955796, 0, 0.423405, 0.0911998, 0, 0.298244, 0.0990764, 0, 0, 0.26366
0.346, 0, 0, 0, 0.0611772, 0.956624, 0, 0.424033, 0.0911696, 0, 0.298536, 0.0992482, 0, 0, 0.263946
0.349, 0, 0, 0, 0.0609222, 0.955934, 0, 0.423983, 0.0908273, 0, 0.298269, 0.0991094, 0, 0, 0.26367
0.353, 0, 0, 0, 0.0610399, 0.956786, 0, 0.424533, 0.0907719, 0, 0.299984, 0.0988528, 0, 0, 0.263903
0.354, 0, 0, 0, 0.0607082, 0.956213, 0, 0.424177, 0.0906492, 0, 0.299664, 0.0987472, 0, 0, 0.263647
0.358, 0, 0, 0, 0.0609674, 0.956658, 0, 0.425436, 0.0904928, 0, 0.299782, 0.0987715, 0, 0, 0.263809
0.362, 0, 0, 0, 0.0608997, 0.956294, 0, 0.425398, 0.0903109, 0, 0.298694, 0.0996605, 0, 0, 0.263657
0.366, 0, 0, 0, 0.060952, 0.956769, 0, 0.425752, 0.0902211, 0, 0.298768, 0.0994875, 0, 0, 0.263774
0.369, 0, 0, 0, 0.0608551, 0.956351, 0, 0.425679, 0.0900608, 0, 0.298596, 0.0992792, 0, 0, 0.263611
0.373, 0, 0, 0, 0.0609163, 0.956905, 0, 0.426031, 0.0899992, 0, 0.298724, 0.0991761, 0, 0, 0.263745
0.374, 0, 0, 0, 0.0607024, 0.956525, 0, 0.425797, 0.0899171, 0, 0.298532, 0.0990763, 0, 0, 0.263577
0.378, 0, 0, 0, 0.0608883, 0.956794, 0, 0.426175, 0.0898228, 0, 0.298677, 0.0989831, 0, 0, 0.263679
0.382, 0, 0, 0, 0.0608436, 0.956566, 0, 0.426136, 0.0897229, 0, 0.298607, 0.098833, 0, 0, 0.263584
0.386, 0, 0, 0, 0.0608759, 0.956855, 0, 0.426331, 0.0896738, 0, 0.298705, 0.0987668, 0, 0, 0.263654
0.39, 0, 0, 0, 0.0609576, 0.956596, 0, 0.426337, 0.0895727, 0, 0.298781, 0.0986692, 0, 0, 0.263564
0.393, 0, 0, 0, 0.0608671, 0.956898, 0, 0.426636, 0.0894373, 0, 0.298903, 0.0986085, 0, 0, 0.263634
0.397, 0, 0, 0, 0.0608044, 0.956643, 0, 0.426678, 0.0892718, 0, 0.298828, 0.0985033, 0, 0, 0.263531
0.398, 0, 0, 0, 0.0609057, 0.956832, 0, 0.426844, 0.0892671, 0, 0.298922, 0.0985171, 0, 0, 0.263607
0.402, 0, 0, 0, 0.0608223, 0.956753, 0, 0.426889, 0.0891414, 0, 0.29888, 0.0984395, 0, 0, 0.263549
0.406, 0, 0, 0, 0.0608345, 0.95687, 0, 0.42707, 0.0890414, 0, 0.29893, 0.0983976, 0, 0, 0.263572
0.414, 0, 0, 0, 0.0608202, 0.956804, 0, 0.428067, 0.0886398, 0, 0.298932, 0.0982886, 0, 0, 0.263526
0.418, 0, 0, 0, 0.0608288, 0.956902, 0, 0.42814, 0.0885571, 0, 0.298973, 0.0982556, 0, 0, 0.263545
0.422, 0, 0, 0, 0.060815, 0.956823, 0, 0.428112, 0.0884708, 0, 0.298959, 0.0982022, 0, 0, 0.26351
0.426, 0, 0, 0, 0.0608298, 0.956926, 0, 0.428159, 0.0884152, 0, 0.299, 0.098175, 0, 0, 0.263534
0.43, 0, 0, 0, 0.0608155, 0.956837, 0, 0.428331, 0.0882694, 0, 0.29898, 0.0981241, 0, 0, 0.263497
0.431, 0, 0, 0, 0.0608511, 0.956904, 0, 0.428383, 0.088264, 0, 0.299015, 0.0981253, 0, 0, 0.263523
0.435, 0, 0, 0, 0.0608024, 0.956843, 0, 0.428391, 0.0882039, 0, 0.299002, 0.0980828, 0, 0, 0.263501
0.439, 0, 0, 0, 0.0608337, 0.956907, 0, 0.428393, 0.0881886, 0, 0.299033, 0.0980572, 0, 0, 0.263519
0.443, 0, 0, 0, 0.0608275, 0.956855, 0, 0.428383, 0.0881355, 0, 0.299022, 0.0980151, 0, 0, 0.263495
0.447, 0, 0, 0, 0.060839, 0.956924, 0, 0.428403, 0.0881005, 0, 0.299047, 0.0979899, 0, 0, 0.263511
