Time,Stouch_RA5C1,Stouch_RA6D1,Stouch_RA4P2,Stouch_RA5C2,Stouch_RA6D2,Stouch_RA4P3,Stouch_RA5C3,Stouch_RA6D3,Stouch_RA4P4,Stouch_RA5C4,Stouch_RA6D4,Stouch_RA4P5,Stouch_RA5C5,Stouch_RA6D5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0205136, 0, 0, 0.0130365, 0.00432776
0.012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00997641, 0, 0, 0.0204009, 0.000912914
0.016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00703925, 0, 0, 0.0209676, 0.000626802
0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00506338, 0, 0, 0.0165881, 0.000265145
0.025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00385327, 0, 0, 0.0140608, 0
0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00290106, 0, 0, 0.0100881, 0
0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00272415, 0, 0, 0.00957168, 0
0.036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00145443, 0, 0, 0.00160044, 0
0.041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0011362, 0, 0, 0, 0
0.046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0010644, 0, 0, 0, 0
0.051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.076, 0, 0, 0, 0, 0.0532368, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.077, 0, 0, 0, 0, 0.756425, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.081, 0, 0, 0, 0.208236, 1.10534, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.085, 0, 0, 0, 0.13734, 0.838639, 0, 0.481844, 0, 0, 0, 0, 0, 0, 0
0.089, 0, 0, 0, 0.256525, 1.01839, 0, 0.779676, 0, 0, 0.345353, 0, 0, 0, 0.399941
0.093, 0, 0, 0, 0.167103, 0.849076, 0, 0.673319, 0, 0, 0.513046, 0, 0, 0, 0.506698
0.097, 0, 0, 0, 0.153319, 1.29082, 0, 0.741328, 0, 0, 0.54466, 0, 0, 0, 0.56656
0.098, 0, 0, 0, 0.020784, 1.01267, 0, 0.539534, 0, 0, 0.396265, 0, 0, 0, 0.404436
0.1, 0, 0, 0, 2.75606, 2.32276, 0, 3.20574, 0, 0, 2.59014, 0, 0, 0, 1.30181
0.102, 0, 0, 0, 0.0554003, 0.129252, 0, 0.192217, 0.187012, 0, 0.116066, 0.152943, 0, 0, 0.035447
0.104, 0, 0, 0, 0.565575, 1.73331, 0, 1.08467, 0.431491, 0, 0.642733, 0.482141, 0, 0, 0.531806
0.107, 0, 0, 0, 0.0114991, 0.343521, 0, 0.250566, 0.186246, 0, 0.172882, 0.169719, 0, 0, 0.0778497
0.11, 0, 0, 0, 0.362924, 1.57988, 0, 0.693885, 0.479441, 0, 0.570834, 0.334338, 0, 0, 0.457192
