sDlcMarker,sOpenSimMarker
sternum_top,M_SternumTop
sternum_bottom,M_SternumBot
scapula_anterior,M_RScapulaAnt
scapula_posterior,M_RScapulaPost
humerus_deltoid_tuberosity,M_RA1H_DT
humerus_lateral_epcdl,M_RA1H_LE
humerus_medial_epcdl,M_RA1H_ME
humerus_interior_elbow,M_RA1H_IE
ulna_olecranon,M_RA2U_OL
ulna_bend,M_RA2U_D
ulna_styloid,M_RA2U_SP
radius_styloid,M_RA2R_SP
radius_wrist_center,M_RA2R_M
hand_center,M_RA3M
palmar_ulna_styloid,M_RA2U_PAL_SP
palmar_radius_styloid,M_RA2R_PAL_SP
d1_mc_body,M_RA4M1_B
d1_mc_head,M_RA4M1_H
d1_p1_head,M_RA5P1_H
d1_p2_head,M_RA6D1_H
d2_mc_head,M_RA4M2
d2_p1_head,M_RA5P2_H
d2_p2_head,M_RA6M2_H
d2_p3_head,M_RA7D2_H
d3_mc_head,M_RA4M3
d3_p1_head,M_RA5P3_H
d3_p2_head,M_RA6M3_H
d3_p3_head,M_RA7D3_H
d4_mc_head,M_RA4M4
d4_p1_head,M_RA5P4_H
d4_p2_head,M_RA6M4_H
d4_p3_head,M_RA7D4_H
d5_mc_head,M_RA4M5
d5_p1_head,M_RA5P5_H
d5_p2_head,M_RA6M5_H
d5_p3_head,M_RA7D5_H
o_sensor_tb,M_RPS_BLUE_TB
o_sensor_tf,M_RPS_BLUE_TF
o_sensor_bb,M_RPS_BLUE_BB
o_sensor_bf,M_RPS_BLUE_BF
b_sensor_tb,M_LPS_ORANGE_TB
b_sensor_tf,M_LPS_ORANGE_TF
b_sensor_bb,M_LPS_ORANGE_BB
b_sensor_bf,M_LPS_ORANGE_BF
