body,mass kg
Thorax,0.0
RA_clavicle,0.0
RA_clavphant,0.0
RA_scapula,0.70396
RA_scapphant,0.0001
RA1H_PHANT,0.0001
RA1H_PHANT1,0.0001
RA1H,1.99757
RA2U,1.1053
RA2R,0.23359
RA3L,0.0001
RA3C,0.32742
RA3T,1e-05
RA3O,1e-05
RA3H,1e-05
RA4M1_PHANT,1e-05
RA4M1,0.016
RA5P1,0.0079
RA6D1,0.0031
RA4M2,0.036363636
RA4M3,0.038095238
RA4M4,0.033333333
RA4M5,0.02962963
RA5P2,0.0158
RA6M2,0.0049
RA7D2,0.0018
RA5P3,0.0193
RA6M3,0.00642
RA7D3,0.00252
RA5P4,0.01374
RA6M4,0.00568
RA7D4,0.0029
RA5P5,0.01106
RA6M5,0.00372
RA7D5,0.00222
